"product_id";"total_orders";"reordered_orders";"reorder_rate";"price_sensitivity"
33120;40;32.0;0.8;"Low Sensitivity"
28985;106;73.0;0.689;"Low Sensitivity"
9327;6;2.0;0.333;"Medium Sensitivity"
45918;3;1.0;0.333;"Medium Sensitivity"
30035;1;0.0;0.0;"High Sensitivity"
17794;123;76.0;0.618;"Low Sensitivity"
40141;1;1.0;1.0;"Low Sensitivity"
1819;8;5.0;0.625;"Low Sensitivity"
43668;1;0.0;0.0;"High Sensitivity"
33754;47;37.0;0.787;"Low Sensitivity"
24838;70;58.0;0.829;"Low Sensitivity"
17704;7;1.0;0.143;"High Sensitivity"
21903;379;299.0;0.789;"Low Sensitivity"
17668;2;1.0;0.5;"Medium Sensitivity"
46667;74;39.0;0.527;"Medium Sensitivity"
17461;29;21.0;0.724;"Low Sensitivity"
32665;7;4.0;0.571;"Medium Sensitivity"
46842;18;14.0;0.778;"Low Sensitivity"
26434;2;1.0;0.5;"Medium Sensitivity"
39758;6;2.0;0.333;"Medium Sensitivity"
27761;5;3.0;0.6;"Low Sensitivity"
10054;1;1.0;1.0;"Low Sensitivity"
21351;4;3.0;0.75;"Low Sensitivity"
22598;1;1.0;1.0;"Low Sensitivity"
34862;11;8.0;0.727;"Low Sensitivity"
40285;5;3.0;0.6;"Low Sensitivity"
17616;8;5.0;0.625;"Low Sensitivity"
25146;42;24.0;0.571;"Medium Sensitivity"
32645;4;2.0;0.5;"Medium Sensitivity"
41276;9;8.0;0.889;"Low Sensitivity"
13176;661;556.0;0.841;"Low Sensitivity"
15005;1;1.0;1.0;"Low Sensitivity"
47329;2;2.0;1.0;"Low Sensitivity"
27966;236;169.0;0.716;"Low Sensitivity"
23909;70;56.0;0.8;"Low Sensitivity"
48370;4;4.0;1.0;"Low Sensitivity"
13245;6;5.0;0.833;"Low Sensitivity"
9633;1;1.0;1.0;"Low Sensitivity"
27360;12;7.0;0.583;"Medium Sensitivity"
6348;32;27.0;0.844;"Low Sensitivity"
40878;6;4.0;0.667;"Low Sensitivity"
6184;50;41.0;0.82;"Low Sensitivity"
48002;1;1.0;1.0;"Low Sensitivity"
20914;2;1.0;0.5;"Medium Sensitivity"
37011;18;8.0;0.444;"Medium Sensitivity"
12962;6;2.0;0.333;"Medium Sensitivity"
45698;5;4.0;0.8;"Low Sensitivity"
24773;1;1.0;1.0;"Low Sensitivity"
18569;2;2.0;1.0;"Low Sensitivity"
41176;2;1.0;0.5;"Medium Sensitivity"
48366;1;1.0;1.0;"Low Sensitivity"
47209;355;279.0;0.786;"Low Sensitivity"
46522;11;3.0;0.273;"High Sensitivity"
38693;4;2.0;0.5;"Medium Sensitivity"
48825;3;0.0;0.0;"High Sensitivity"
8479;13;7.0;0.538;"Medium Sensitivity"
40462;1;0.0;0.0;"High Sensitivity"
15873;1;0.0;0.0;"High Sensitivity"
41897;1;0.0;0.0;"High Sensitivity"
34050;28;18.0;0.643;"Low Sensitivity"
46802;42;23.0;0.548;"Medium Sensitivity"
23423;4;4.0;1.0;"Low Sensitivity"
21405;54;35.0;0.648;"Low Sensitivity"
47890;4;3.0;0.75;"Low Sensitivity"
11182;36;21.0;0.583;"Medium Sensitivity"
2014;3;3.0;1.0;"Low Sensitivity"
29193;4;3.0;0.75;"Low Sensitivity"
34203;3;2.0;0.667;"Low Sensitivity"
14992;46;26.0;0.565;"Medium Sensitivity"
31506;74;38.0;0.514;"Medium Sensitivity"
23288;21;14.0;0.667;"Low Sensitivity"
44533;7;1.0;0.143;"High Sensitivity"
18362;40;31.0;0.775;"Low Sensitivity"
27366;1;1.0;1.0;"Low Sensitivity"
432;48;40.0;0.833;"Low Sensitivity"
3990;10;4.0;0.4;"Medium Sensitivity"
14183;6;4.0;0.667;"Low Sensitivity"
24852;815;681.0;0.836;"Low Sensitivity"
4796;8;6.0;0.75;"Low Sensitivity"
31717;108;69.0;0.639;"Low Sensitivity"
47766;303;225.0;0.743;"Low Sensitivity"
4605;106;67.0;0.632;"Low Sensitivity"
1529;18;10.0;0.556;"Medium Sensitivity"
21137;451;347.0;0.769;"Low Sensitivity"
22122;2;2.0;1.0;"Low Sensitivity"
34134;12;7.0;0.583;"Medium Sensitivity"
27156;61;41.0;0.672;"Low Sensitivity"
49235;143;114.0;0.797;"Low Sensitivity"
26842;3;1.0;0.333;"Medium Sensitivity"
3464;28;13.0;0.464;"Medium Sensitivity"
25720;1;0.0;0.0;"High Sensitivity"
30162;2;2.0;1.0;"Low Sensitivity"
27085;1;1.0;1.0;"Low Sensitivity"
5994;12;8.0;0.667;"Low Sensitivity"
1313;5;4.0;0.8;"Low Sensitivity"
30597;3;3.0;1.0;"Low Sensitivity"
15221;2;1.0;0.5;"Medium Sensitivity"
43772;36;25.0;0.694;"Low Sensitivity"
37886;4;1.0;0.25;"High Sensitivity"
37215;11;4.0;0.364;"Medium Sensitivity"
34335;10;6.0;0.6;"Low Sensitivity"
3164;1;0.0;0.0;"High Sensitivity"
26910;2;0.0;0.0;"High Sensitivity"
38888;2;0.0;0.0;"High Sensitivity"
38050;1;1.0;1.0;"Low Sensitivity"
25213;1;0.0;0.0;"High Sensitivity"
11175;1;0.0;0.0;"High Sensitivity"
23390;1;0.0;0.0;"High Sensitivity"
29471;4;2.0;0.5;"Medium Sensitivity"
43511;1;0.0;0.0;"High Sensitivity"
17330;1;0.0;0.0;"High Sensitivity"
27407;3;0.0;0.0;"High Sensitivity"
35419;2;0.0;0.0;"High Sensitivity"
196;58;47.0;0.81;"Low Sensitivity"
44635;3;0.0;0.0;"High Sensitivity"
26878;1;0.0;0.0;"High Sensitivity"
25783;5;3.0;0.6;"Low Sensitivity"
41290;43;29.0;0.674;"Low Sensitivity"
33198;72;60.0;0.833;"Low Sensitivity"
23020;5;1.0;0.2;"High Sensitivity"
36086;12;5.0;0.417;"Medium Sensitivity"
3800;4;3.0;0.75;"Low Sensitivity"
25952;8;6.0;0.75;"Low Sensitivity"
20392;6;4.0;0.667;"Low Sensitivity"
27845;208;187.0;0.899;"Low Sensitivity"
162;13;8.0;0.615;"Low Sensitivity"
2452;23;18.0;0.783;"Low Sensitivity"
8575;5;4.0;0.8;"Low Sensitivity"
41890;5;4.0;0.8;"Low Sensitivity"
39475;46;30.0;0.652;"Low Sensitivity"
10096;1;1.0;1.0;"Low Sensitivity"
23032;5;0.0;0.0;"High Sensitivity"
20995;61;43.0;0.705;"Low Sensitivity"
45066;153;106.0;0.693;"Low Sensitivity"
19660;111;94.0;0.847;"Low Sensitivity"
21195;25;16.0;0.64;"Low Sensitivity"
7461;4;4.0;1.0;"Low Sensitivity"
2996;4;2.0;0.5;"Medium Sensitivity"
32463;5;3.0;0.6;"Low Sensitivity"
9755;18;13.0;0.722;"Low Sensitivity"
25466;23;15.0;0.652;"Low Sensitivity"
45437;10;7.0;0.7;"Low Sensitivity"
8021;45;24.0;0.533;"Medium Sensitivity"
34969;91;55.0;0.604;"Low Sensitivity"
1000;4;1.0;0.25;"High Sensitivity"
5212;45;32.0;0.711;"Low Sensitivity"
36011;45;39.0;0.867;"Low Sensitivity"
44632;122;94.0;0.77;"Low Sensitivity"
46969;35;27.0;0.771;"Low Sensitivity"
38985;5;3.0;0.6;"Low Sensitivity"
26648;14;8.0;0.571;"Medium Sensitivity"
48745;20;12.0;0.6;"Low Sensitivity"
7948;35;13.0;0.371;"Medium Sensitivity"
4802;1;0.0;0.0;"High Sensitivity"
28934;27;15.0;0.556;"Medium Sensitivity"
2116;2;1.0;0.5;"Medium Sensitivity"
45495;3;2.0;0.667;"Low Sensitivity"
32018;4;3.0;0.75;"Low Sensitivity"
27644;2;0.0;0.0;"High Sensitivity"
4656;20;8.0;0.4;"Medium Sensitivity"
9848;1;0.0;0.0;"High Sensitivity"
17568;9;2.0;0.222;"High Sensitivity"
23339;10;4.0;0.4;"Medium Sensitivity"
7308;7;3.0;0.429;"Medium Sensitivity"
35547;24;14.0;0.583;"Medium Sensitivity"
33279;9;4.0;0.444;"Medium Sensitivity"
46979;106;60.0;0.566;"Medium Sensitivity"
1057;2;0.0;0.0;"High Sensitivity"
42265;115;84.0;0.73;"Low Sensitivity"
41540;7;6.0;0.857;"Low Sensitivity"
35430;2;0.0;0.0;"High Sensitivity"
47485;4;1.0;0.25;"High Sensitivity"
7419;8;3.0;0.375;"Medium Sensitivity"
5112;2;1.0;0.5;"Medium Sensitivity"
33452;11;7.0;0.636;"Low Sensitivity"
42633;8;4.0;0.5;"Medium Sensitivity"
27605;1;0.0;0.0;"High Sensitivity"
5009;2;1.0;0.5;"Medium Sensitivity"
33106;3;1.0;0.333;"Medium Sensitivity"
4149;14;6.0;0.429;"Medium Sensitivity"
31478;3;1.0;0.333;"Medium Sensitivity"
25718;17;13.0;0.765;"Low Sensitivity"
22754;1;1.0;1.0;"Low Sensitivity"
28993;23;16.0;0.696;"Low Sensitivity"
41273;5;3.0;0.6;"Low Sensitivity"
23341;12;9.0;0.75;"Low Sensitivity"
46941;7;4.0;0.571;"Medium Sensitivity"
39993;30;16.0;0.533;"Medium Sensitivity"
19068;7;5.0;0.714;"Low Sensitivity"
21410;4;1.0;0.25;"High Sensitivity"
17341;16;9.0;0.563;"Medium Sensitivity"
40593;10;6.0;0.6;"Low Sensitivity"
31268;8;4.0;0.5;"Medium Sensitivity"
25931;27;22.0;0.815;"Low Sensitivity"
35163;25;16.0;0.64;"Low Sensitivity"
29662;25;15.0;0.6;"Low Sensitivity"
26283;28;20.0;0.714;"Low Sensitivity"
12036;6;3.0;0.5;"Medium Sensitivity"
13497;4;2.0;0.5;"Medium Sensitivity"
44953;2;0.0;0.0;"High Sensitivity"
7969;14;9.0;0.643;"Low Sensitivity"
8518;95;59.0;0.621;"Low Sensitivity"
18689;12;10.0;0.833;"Low Sensitivity"
44299;1;0.0;0.0;"High Sensitivity"
8381;4;3.0;0.75;"Low Sensitivity"
32205;1;0.0;0.0;"High Sensitivity"
40078;5;1.0;0.2;"High Sensitivity"
9065;5;0.0;0.0;"High Sensitivity"
46175;15;7.0;0.467;"Medium Sensitivity"
31487;3;0.0;0.0;"High Sensitivity"
37510;1;1.0;1.0;"Low Sensitivity"
14576;1;1.0;1.0;"Low Sensitivity"
22105;3;1.0;0.333;"Medium Sensitivity"
1934;1;1.0;1.0;"Low Sensitivity"
6383;7;7.0;1.0;"Low Sensitivity"
39046;13;6.0;0.462;"Medium Sensitivity"
48171;14;8.0;0.571;"Medium Sensitivity"
33506;1;1.0;1.0;"Low Sensitivity"
30320;3;2.0;0.667;"Low Sensitivity"
15925;4;3.0;0.75;"Low Sensitivity"
37449;5;3.0;0.6;"Low Sensitivity"
48299;6;3.0;0.5;"Medium Sensitivity"
35951;87;68.0;0.782;"Low Sensitivity"
46206;8;5.0;0.625;"Low Sensitivity"
25890;98;56.0;0.571;"Medium Sensitivity"
40545;27;15.0;0.556;"Medium Sensitivity"
30442;11;5.0;0.455;"Medium Sensitivity"
13646;28;21.0;0.75;"Low Sensitivity"
21019;32;17.0;0.531;"Medium Sensitivity"
38226;3;0.0;0.0;"High Sensitivity"
18479;19;14.0;0.737;"Low Sensitivity"
